#;Código;Nombre genérico;Nombre comercial;Presentación
1;101097501;ABACAVIR 300mg, tableta, V.O.;ABACAVIR 3-- MG TABLETAS RECUBIERTAS;Pastilla - Cápsula
2;101099901;ABIRATERONA 250mg, tableta, V.O.;ABIRAVITAE 25- MG COMPRIMIDOS | ZYTIGA 25- MG COMPRIMIDOS | ABIRONE 25- MG TABLETAS | Acetato de Abiraterona 25- mg Tabletas;Pastilla - Cápsula
3;102048801;ACETILCOLINA CLORURO 1:100 o CARBACOL 0.01%, solución estéril, Vía Oftálmica.;Miostat -.-1% solución Intraocular estéril;Frasco de gotas
4;102073301;ACICLOVIR 25mg/ml, polvo liofilizado, I.V.;ZOVIRAX 25- MG/VIAL POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE INFUSIÓN INTRAVENOSA | ISAVIR 25-MG/VIAL Polvo Liofilizado para Solución Inyectable Infusión Intravenosa | ACICLOVIR 25- MG/ FCO. AMP. POLVO LIOFILIZADO ESTÉRIL PARA RECONSTITUIR A SOLUCIÓN INYECTABLE POR INFUSIÓN I.V. LENTA;Vial/Ampolla
5;101085201;ACICLOVIR 400mg, cápsula o tableta, V.O.;Zovirax 4--mg Tabletas | AUROVIR - 4-- (4-- MG) TABLETAS RECUBIERTAS | Virax 4-- mg comprimidos ranurados | ACICLOVIR USP 4-- MG TABLETAS.;Pastilla - Cápsula
6;102079401;ADENOSINA 3mg/ml, solución, I.V.;ADENOSINA 6mg/2mL Solución Inyectable I.V. | Caden 6 mg/ 2 ml Solución Inyectable I.V.;Vial/Ampolla
7;102048201;ADRENALINA CLORURO (EPINEFRINA) 1:1,000, 1mg/ml, solución, 1ml, S.C. I.M. I.V.;PINADRINA 1MG/ML SOLUCIÓN INYECTABLE S.C., I.M., I.V. | ADRENALINA SINTETICA 1MG/ML SIN SULFITO SOLUCIÓN INYECTABLE;Vial/Ampolla
8;102051901;ALBÚMINA HUMANA POBRE EN SODIO 10g/50ml (20%) ó 12.5g/50ml (25%), solución, I.V.;ALBURX 2- SOLUCIÓN PARA INFUSIÓN DE USO INTRAVENOSO | Alburex 2- (2-%) Solución Inyectable para Infusión Intravenosa | ALBUMINA HUMANA GRIFOLS AL 2-% SOLUCION INYECTABLE I.V;Vial/Ampolla
9;101002401;ALFACALCIDOL 1mcg, cápsula, V.O.;ETALPHA 1 MCG CAPSULAS.;Pastilla - Cápsula
10;102097801;ALTEPLASA (rtpA) 50mg, polvo liofilizado, I.V.;Actilyse 5- mg/vial polvo liofilizado + solvente para solución inyectable I.V.;Vial/Ampolla
11;102043901;AMIKACINA SULFATO 250mg/ml, solución, I.M., I.V.;A.M.K 5--mg/2mL Solución Inyectable | Amikacina 5-- mg/2 ml Solución Inyectable I.M. Infusión I.V. | AMIKACINA 5-- MG/2ML SOLUCIÓN INYECTABLE I.M, I.V. (INFUSIÓN LENTA);Vial/Ampolla
12;102053001;AMINOCAPRÓICO ÁCIDO 250mg/ml, solución, I.V.;HAMOSTAT ACIDO AMINOCAPROICO INYECCION IP 5 G /2- ML SOLUCION I.V.;Vial/Ampolla
13;102094101;AMINOÁCIDOS al 13.4%, enriquecido con GLUTAMINA, solución, 500-1,000ml, I.V.;GLAMIN SOLUCIÓN INYECTABLE PARA INFUSIÓN INTRAVENOSA;Vial/Ampolla
14;102078101;AMINOÁCIDOS CRISTALINOS al 10%, con CISTEÍNA, HISTIDINA, TAURINA y TIROSINA, solución, 250-500ml, I.V.;AMINOVEN INFANT AL 1-% SOLUCION PARA INFUSION I.V.;Vial/Ampolla
15;102045001;AMINOÁCIDOS CRISTALINOS al 10%, solución, 500ml, I.V.;AMINOPLASMAL B.BRAUN 1-% SOLUCION PARA PERFUSION | AMINOVEN AL 1-% SOLUCIÓN PARA INFUSIÓN I.V.;Vial/Ampolla
16;102079301;AMIODARONA 50mg/ml, solución, I.V.;CORDARONE 15- MG / 3 ML SOLUCIÓN INYECTABLE I.V.;Vial/Ampolla
17;101075501;AMIODARONA CLORHIDRATO 200mg, tableta, V.O.;CORDARONE 2--MG COMPRIMIDOS;Pastilla - Cápsula
18;101092801;AMOXICILINA 500mg con ACIDO CLAVULÁNICO 125mg, tableta, V.O.;Augmentin 5--mg/125mg Tabletas Recubiertas | CLAVOXILIN PLUS (5-- MG / 125 MG) COMPRIMIDOS REVESTIDOS;Pastilla - Cápsula
19;103055201;AMOXICILINA BASE O TRIHIDRATADA 250mg/5ml, polvo para suspensión o jarabe, frasco, 60-100ml. V.O.;AMICIL 25-MG/ 5ML GRANULOS PARA SUSPENSION ORAL | AMOXAPEN | AMOXICILINA 25-MG/5ML POLVO PARA SUSPENSIÓN ORAL | AMOXICILINA 25-MG/5ML POLVO PARA RECONSTITUIR A SUSPENSIÓN ORAL;Frasco de jarabe
20;101061101;AMOXICILINA BASE O TRIHIDRATADA 500mg, cápsula o tableta, V.O.;AMOXICILINA CINFA 5--MG CÁPSULAS DURAS | AMOXAPEN 5--MG CÁPSULAS | AMOXICILINA 5--MG CÁPSULAS;Pastilla - Cápsula
21;102023801;AMPICILINA SÓDICA 1g, polvo liofilizado, I.M., I.V.;Ampicilina 1g Polvo Estéril para Reconstituir a Solución Inyectable | AMPICILINA 1,- G POLVO PARA INYECCIÓN | MPICILINA (SODICA) 1.- G POLVO PARA SOLUCION INYECTABLE;Vial/Ampolla
22;102055301;ANFOTERICINA B 50mg, polvo liofilizado, I.V.;AMFOTERICINA B 5- MG/VIAL POLVO PARA SOLUCIÓN INYECTABLE INTRAVENOSA (INFUSIÓN LENTA). | AMFOTERICINA B 5-MG POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABL | GANCICLOVIR 5--MG Polvo Liofilizado para reconstituir a solución inyectable | AMPHOTRET ANFOTERICINA B 5- MG POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE VÍA INTRAVENOSA (INFUSIÓN;Vial/Ampolla
